Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2015,3,3,N,HB_BUSAVG,SH,22.24
01/01/2015,3,4,N,HB_BUSAVG,SH,22.17
01/01/2015,4,1,N,HB_BUSAVG,SH,22.17
01/01/2015,4,2,N,HB_BUSAVG,SH,22.13
01/01/2015,4,3,N,HB_BUSAVG,SH,22.08
01/01/2015,4,4,N,HB_BUSAVG,SH,22.13
01/01/2015,5,1,N,HB_BUSAVG,SH,22.14
01/01/2015,5,2,N,HB_BUSAVG,SH,22.11
01/01/2015,5,3,N,HB_BUSAVG,SH,22.15
01/01/2015,5,4,N,HB_BUSAVG,SH,22.22
01/01/2015,6,1,N,HB_BUSAVG,SH,22.42
01/01/2015,6,2,N,HB_BUSAVG,SH,22.47
01/01/2015,6,3,N,HB_BUSAVG,SH,22.68
01/01/2015,6,4,N,HB_BUSAVG,SH,22.87
01/01/2015,7,1,N,HB_BUSAVG,SH,23.16
01/01/2015,7,2,N,HB_BUSAVG,SH,23.32
01/01/2015,7,3,N,HB_BUSAVG,SH,23.46
01/01/2015,7,4,N,HB_BUSAVG,SH,23.58
01/01/2015,8,1,N,HB_BUSAVG,SH,23.67
01/01/2015,8,2,N,HB_BUSAVG,SH,23.68
01/01/2015,8,3,N,HB_BUSAVG,SH,23.83
01/01/2015,8,4,N,HB_BUSAVG,SH,23.93
01/01/2015,9,1,N,HB_BUSAVG,SH,23.92
01/01/2015,9,2,N,HB_BUSAVG,SH,24.14
01/01/2015,9,3,N,HB_BUSAVG,SH,24.69
01/01/2015,9,4,N,HB_BUSAVG,SH,25.09
01/01/2015,10,1,N,HB_BUSAVG,SH,25.63
01/01/2015,10,2,N,HB_BUSAVG,SH,26.7
01/01/2015,10,3,N,HB_BUSAVG,SH,27.32
01/01/2015,10,4,N,HB_BUSAVG,SH,28.32
01/01/2015,11,1,N,HB_BUSAVG,SH,27.52
01/01/2015,11,2,N,HB_BUSAVG,SH,28.39
01/01/2015,11,3,N,HB_BUSAVG,SH,28.06
01/01/2015,11,4,N,HB_BUSAVG,SH,28.16
01/01/2015,12,1,N,HB_BUSAVG,SH,28.3
01/01/2015,12,2,N,HB_BUSAVG,SH,28.61
01/01/2015,12,3,N,HB_BUSAVG,SH,28.51
01/01/2015,12,4,N,HB_BUSAVG,SH,28.54
01/01/2015,13,1,N,HB_BUSAVG,SH,27.97
01/01/2015,13,2,N,HB_BUSAVG,SH,28.08
01/01/2015,13,3,N,HB_BUSAVG,SH,27.31
01/01/2015,13,4,N,HB_BUSAVG,SH,26.96
01/01/2015,14,1,N,HB_BUSAVG,SH,26.86
01/01/2015,14,2,N,HB_BUSAVG,SH,25.89
01/01/2015,14,3,N,HB_BUSAVG,SH,26.27
01/01/2015,14,4,N,HB_BUSAVG,SH,26.04
01/01/2015,15,1,N,HB_BUSAVG,SH,25.45
01/01/2015,15,2,N,HB_BUSAVG,SH,24.92
01/01/2015,15,3,N,HB_BUSAVG,SH,24.65
01/01/2015,15,4,N,HB_BUSAVG,SH,24.64
01/01/2015,16,1,N,HB_BUSAVG,SH,24.73
01/01/2015,16,2,N,HB_BUSAVG,SH,24.66
01/01/2015,16,3,N,HB_BUSAVG,SH,24.49
01/01/2015,16,4,N,HB_BUSAVG,SH,24.82
01/01/2015,17,1,N,HB_BUSAVG,SH,25.11
01/01/2015,17,2,N,HB_BUSAVG,SH,25.3
01/01/2015,17,3,N,HB_BUSAVG,SH,25.54
01/01/2015,17,4,N,HB_BUSAVG,SH,26.4
01/01/2015,18,1,N,HB_BUSAVG,SH,28.03
01/01/2015,18,2,N,HB_BUSAVG,SH,29.45
01/01/2015,18,3,N,HB_BUSAVG,SH,30.23
01/01/2015,18,4,N,HB_BUSAVG,SH,29.77
01/01/2015,19,1,N,HB_BUSAVG,SH,28.84
01/01/2015,19,2,N,HB_BUSAVG,SH,28.72
